OTUID,out36-1,out36-11,out36-13,out36-15,out36-17,out36-18,out36-2,out36-20,out36-21,out36-23,out36-24,out36-26,out36-28,out36-5,out36-7,out36-9,51-1,51-10,51-11,51-12,51-13,51-14,51-15,51-16,51-17,51-18,51-19,51-2,51-20,51-21,51-22,51-23,51-24,51-25,51-26,51-27,51-28,51-29,51-3,51-30,51-31,51-32,51-33,51-34,51-35,51-36,51-37,51-38,51-39,51-4,51-40,51-41,51-42,51-43,51-44,51-45,51-46,51-47,51-48,51-49,51-5,51-50,51-51,51-52,51-53,51-54,51-55,51-56,51-6,51-7,51-75,51-8,51-9,52-1,52-10,52-11,52-12,52-13,52-14,52-15,52-16,52-17,52-18,52-19,52-2,52-20,52-21,52-22,52-23,52-24,52-25,52-26,52-27,52-28,52-29,52-3,52-30,52-31,52-32,52-33,52-34,52-35,52-36,52-37,52-38,52-39,52-4,52-40,52-41,52-42,52-43,52-44,52-45,52-46,52-47,52-48,52-49,52-5,52-50,52-51,52-52,52-53,52-54,52-55,52-56,52-6,52-7,52-8,52-9
ASV_11,0,0,35091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_12,0,0,0,2537,2448,2482,0,7203,0,2723,2394,0,1454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,450,739,0,0,0,0,0,0,362,43,0,0,0,76,0,216,202,422,0,74,443,64,245,0,108,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,197,0,199,0,0,0,0,295,0,0,123,236,46,486,455,564,48,0,368,446,1571,1661,0,244,162,0,0,0,0
ASV_13,5673,0,0,0,2726,0,1990,3103,7419,733,492,0,0,0,0,0,0,0,0,0,0,0,0,0,151,237,0,0,0,0,0,0,0,41,0,86,0,0,0,840,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,127,0,205,0,287,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0,0,71,100,0,73,0,160,0,0,0,0,0,0,0,0,0,68,0,0,109,107,0,13,286,1551,0,14,235,418,225,957,294,228,99,0,0,0,0
ASV_14,30925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_15,0,2451,0,466,1982,0,464,0,9286,995,0,0,0,7380,0,0,0,0,119,0,0,0,0,0,0,97,0,0,0,622,0,0,0,0,0,0,0,0,0,0,56,0,429,178,0,0,0,0,0,0,115,58,0,0,425,63,0,68,0,241,0,82,595,0,56,0,583,0,0,0,0,0,0,0,0,0,0,0,209,619,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,239,0,264,0,0,0,0,0,0,0,0,0,0,228,65,0,344,123,352,0,0,0,683,0,367,0,341,0,0,0,0,0
ASV_16,0,0,0,0,6997,0,0,8280,5897,3940,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,109,0,0,0,0,0,0,0,0,0,0,0,134,0,113,209,0,0,0,0,0,70,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,0,0,0,0,0,0,0,0,0,0,0,119,0,484,705,0,0,0,0,0,650,537,0,0,360,0,0,0,0
ASV_17,28163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_18,0,0,0,0,0,0,0,0,199,0,259,0,23624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,71,0,0,0,0,0,0,0,0,0,55,290,0,0,0,0,0,0,0,0,0,295,0,170,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,231,0,0,0,0,0,0,0,219,170,118,0,0,0,0,0,0,240,516,0,0,212,638,0,0,0,0
ASV_19,0,0,0,1967,3483,2617,0,0,3311,1530,1169,0,772,0,0,550,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,1419,245,0,0,0,0,0,0,0,40,0,0,140,44,0,58,45,448,0,0,325,88,90,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,353,182,0,0,0,0,0,0,0,130,644,0,197,277,69,0,366,639,0,0,533,0,716,459,0,404,0,0,0,0,0
ASV_20,0,0,0,0,0,0,1434,0,0,0,0,0,0,0,2910,5946,0,0,525,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,0,0,414,627,158,0,392,2460,0,0,0,0,0,0,0,258,2199,0,0,0,0,986,192,59,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,812
